type,date,bitcoin,ethereum,zcash,BTC/EUR,ETH/EUR,ZEC/EUR
val1,29.10.16,40,48,97,,,
val1,30.10.16,36,50,64,,,
val1,31.10.16,38,48,44,,,
val1,01.11.16,40,39,62,,,
val1,02.11.16,38,42,52,,,
val1,03.11.16,39,49,44,,,
val1,04.11.16,36,46,46,,,
val1,05.11.16,37,39,34,,,
val1,06.11.16,35,44,30,,,
val1,08.11.16,39,50,23,,,
val1,09.11.16,46,50,21,,,
val1,10.11.16,36,30,19,,,
val1,11.11.16,35,41,18,,,
val1,12.11.16,36,53,18,,,
val1,13.11.16,37,33,21,,,
val1,14.11.16,36,44,15,,,
val1,15.11.16,34,43,19,,,
val1,16.11.16,37,52,17,,,
val1,17.11.16,38,43,16,,,
val1,18.11.16,36,46,13,,,
val1,19.11.16,35,43,14,,,
val1,20.11.16,37,38,14,,,
val1,21.11.16,37,43,10,,,
val1,22.11.16,40,50,11,,,
val1,23.11.16,37,44,14,,,
val1,24.11.16,38,67,19,,,
val1,25.11.16,35,52,14,,,
val1,26.11.16,35,42,12,,,
val1,27.11.16,35,41,9,,,
val1,28.11.16,37,45,11,,,
val1,29.11.16,39,61,11,,,
val1,30.11.16,37,51,11,,,
val1,01.12.16,39,45,9,,,
val1,02.12.16,40,46,12,,,
val1,03.12.16,35,47,11,,,
val1,04.12.16,32,39,12,,,
val1,05.12.16,37,50,8,,,
val1,06.12.16,39,65,12,,,
val1,07.12.16,40,50,9,,,
val1,08.12.16,40,48,11,,,
val1,09.12.16,37,37,7,,,
val1,10.12.16,35,26,11,,,
val1,11.12.16,35,35,6,,,
val1,12.12.16,36,37,8,,,
val1,13.12.16,38,44,10,,,
val1,14.12.16,37,39,11,,,
val1,15.12.16,36,46,8,,,
val1,16.12.16,38,41,10,,,
val1,17.12.16,33,35,10,,,
val1,18.12.16,35,30,7,,,
val1,19.12.16,36,31,11,,,
val1,20.12.16,37,44,9,,,
val1,21.12.16,47,44,9,,,
val1,22.12.16,54,37,11,,,
val1,23.12.16,58,48,17,,,
val1,24.12.16,51,52,6,,,
val1,25.12.16,47,45,9,,,
val1,26.12.16,49,43,12,,,
val1,27.12.16,50,48,10,,,
val1,28.12.16,59,51,13,,,
val1,29.12.16,57,62,9,,,
val1,30.12.16,52,57,8,,,
val1,31.12.16,45,36,6,,,
val1,01.01.17,50,49,10,,,
val1,02.01.17,79,71,9,,,
val1,03.01.17,74,80,8,,,
val1,04.01.17,84,100,11,,,
val1,05.01.17,100,93,8,,,
val1,06.01.17,86,62,7,,,
val1,07.01.17,73,50,6,,,
val1,08.01.17,68,50,7,,,
val1,09.01.17,64,66,9,,,
val1,10.01.17,59,53,9,,,
val1,11.01.17,69,60,8,,,
val1,12.01.17,70,63,9,,,
val1,13.01.17,57,48,7,,,
val2,28.10.16,,,,630.43,,
val2,29.10.16,,,,630.54,,
val2,30.10.16,,,,648.54,,
val2,31.10.16,,,,632.51,,
val2,01.11.16,,,,642.36,,
val2,02.11.16,,,,662.27,,
val2,03.11.16,,,,664.64,,
val2,04.11.16,,,,614.6,,
val2,05.11.16,,,,635,,
val2,06.11.16,,,,634.67,,
val2,08.11.16,,,,644.07,,
val2,09.11.16,,,,642.99,,
val2,10.11.16,,,,648.89,,
val2,11.11.16,,,,662.52,,
val2,12.11.16,,,,657.74,,
val2,13.11.16,,,,661.47,,
val2,14.11.16,,,,650.96,,
val2,15.11.16,,,,649.08,,
val2,16.11.16,,,,660.03,,
val2,17.11.16,,,,665.88,,
val2,18.11.16,,,,691.46,,
val2,19.11.16,,,,689.06,,
val2,20.11.16,,,,707.67,,
val2,21.11.16,,,,706.19,,
val2,22.11.16,,,,690.09,,
val2,23.11.16,,,,699.33,,
val2,24.11.16,,,,707.5,,
val2,25.11.16,,,,708.29,,
val2,26.11.16,,,,705.81,,
val2,27.11.16,,,,704.06,,
val2,28.11.16,,,,699.82,,
val2,29.11.16,,,,696.04,,
val2,30.11.16,,,,694.2,,
val2,01.12.16,,,,690.97,,
val2,02.12.16,,,,701.28,,
val2,03.12.16,,,,709.6,,
val2,04.12.16,,,,724.77,,
val2,05.12.16,,,,721.04,,
val2,06.12.16,,,,723.5,,
val2,07.12.16,,,,702.08,,
val2,08.12.16,,,,708.72,,
val2,09.12.16,,,,714.06,,
val2,10.12.16,,,,722.09,,
val2,11.12.16,,,,729.62,,
val2,12.12.16,,,,734.99,,
val2,13.12.16,,,,731.98,,
val2,14.12.16,,,,734.06,,
val2,15.12.16,,,,733.47,,
val2,16.12.16,,,,735.3,,
val2,17.12.16,,,,745.2,,
val2,18.12.16,,,,751.77,,
val2,19.12.16,,,,760.52,,
val2,20.12.16,,,,761.28,,
val2,21.12.16,,,,763.18,,
val2,22.12.16,,,,771.12,,
val2,23.12.16,,,,804.26,,
val2,24.12.16,,,,826.9,,
val2,25.12.16,,,,884.34,,
val2,26.12.16,,,,860.3,,
val2,27.12.16,,,,860.65,,
val2,28.12.16,,,,862.02,,
val2,29.12.16,,,,893.24,,
val2,30.12.16,,,,943.7,,
val2,31.12.16,,,,934.19,,
val2,01.01.17,,,,917.49,,
val2,02.01.17,,,,924.99,,
val2,03.01.17,,,,949.14,,
val2,04.01.17,,,,975.01,,
val2,05.01.17,,,,983.76,,
val2,06.01.17,,,,1081.26,,
val2,07.01.17,,,,948.89,,
val2,08.01.17,,,,857.39,,
val2,09.01.17,,,,860,,
val2,10.01.17,,,,871.93,,
val2,11.01.17,,,,861.75,,
val2,12.01.17,,,,861,,
val2,13.01.17,,,,751.27,,
val3,28.10.16,,,,,10.14677085,
val3,29.10.16,,,,,9.14283,
val3,30.10.16,,,,,10.50894216,
val3,31.10.16,,,,,10.04299378,
val3,01.11.16,,,,,9.442692,
val3,02.11.16,,,,,9.81417913,
val3,03.11.16,,,,,10.65883168,
val3,04.11.16,,,,,9.7647648,
val3,05.11.16,,,,,9.952355,
val3,06.11.16,,,,,9.76566729,
val3,08.11.16,,,,,9.9637629,
val3,09.11.16,,,,,9.79080873,
val3,10.11.16,,,,,9.5776164,
val3,11.11.16,,,,,9.69399264,
val3,12.11.16,,,,,9.45040832,
val3,13.11.16,,,,,9.27513234,
val3,14.11.16,,,,,9.38879608,
val3,15.11.16,,,,,9.18642924,
val3,16.11.16,,,,,9.46417017,
val3,17.11.16,,,,,8.9960388,
val3,18.11.16,,,,,9.3277954,
val3,19.11.16,,,,,8.70765122,
val3,20.11.16,,,,,9.10275921,
val3,21.11.16,,,,,9.25391376,
val3,22.11.16,,,,,8.9504673,
val3,23.11.16,,,,,9.21926739,
val3,24.11.16,,,,,9.3651775,
val3,25.11.16,,,,,8.82812656,
val3,26.11.16,,,,,8.94473013,
val3,27.11.16,,,,,8.91269554,
val3,28.11.16,,,,,8.63787826,
val3,29.11.16,,,,,8.24250568,
val3,30.11.16,,,,,7.691736,
val3,01.12.16,,,,,7.96895701,
val3,02.12.16,,,,,7.85714112,
val3,03.12.16,,,,,7.0988384,
val3,04.12.16,,,,,7.44556221,
val3,05.12.16,,,,,6.93856792,
val3,06.12.16,,,,,6.520182,
val3,07.12.16,,,,,7.22650944,
val3,08.12.16,,,,,7.7285916,
val3,09.12.16,,,,,7.5726063,
val3,10.12.16,,,,,7.88594489,
val3,11.12.16,,,,,7.6537138,
val3,12.12.16,,,,,7.8349934,
val3,13.12.16,,,,,7.98150992,
val3,14.12.16,,,,,7.88967688,
